mode,instanceId,expectedTruthfulReward,expectedShortcutReward,expectedRewardGap
baseline,50,885245.250000,1161290.000000,-276044.75
psi=0.05,50,946720.725000,1195161.000000,-248440.2749999999
psi=0.10,50,1008196.200000,1229032.000000,-220835.79999999993
psi=0.20,50,1131147.150000,1296774.000000,-165626.8500000001
psi=0.30,50,1254098.100000,1364516.000000,-110417.8999999999
baseline,51,1014084.000000,885245.250000,128838.75
psi=0.05,51,1062675.600000,946720.725000,115954.875
psi=0.10,51,1111267.200000,1008196.200000,103071.00000000012
psi=0.20,51,1208450.400000,1131147.150000,77303.25
psi=0.30,51,1305633.600000,1254098.100000,51535.5
baseline,52,1014084.000000,1033536.375000,-19452.375
psi=0.05,52,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,52,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,52,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,52,1305633.600000,1313414.550000,-7780.949999999953
baseline,53,1014084.000000,1014084.000000,0.0
psi=0.05,53,1062675.600000,1062675.600000,0.0
psi=0.10,53,1111267.200000,1111267.200000,0.0
psi=0.20,53,1208450.400000,1208450.400000,0.0
psi=0.30,53,1305633.600000,1305633.600000,0.0
baseline,54,1014084.000000,1161290.000000,-147206.0
psi=0.05,54,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,54,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,54,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,54,1305633.600000,1364516.000000,-58882.39999999991
baseline,55,1014084.000000,1014084.000000,0.0
psi=0.05,55,1062675.600000,1062675.600000,0.0
psi=0.10,55,1111267.200000,1111267.200000,0.0
psi=0.20,55,1208450.400000,1208450.400000,0.0
psi=0.30,55,1305633.600000,1305633.600000,0.0
baseline,56,1014084.000000,1014084.000000,0.0
psi=0.05,56,1062675.600000,1062675.600000,0.0
psi=0.10,56,1111267.200000,1111267.200000,0.0
psi=0.20,56,1208450.400000,1208450.400000,0.0
psi=0.30,56,1305633.600000,1305633.600000,0.0
baseline,57,1014084.000000,1161290.000000,-147206.0
psi=0.05,57,1062675.600000,1195161.000000,-132485.3999999999
psi=0.10,57,1111267.200000,1229032.000000,-117764.79999999981
psi=0.20,57,1208450.400000,1296774.000000,-88323.6000000001
psi=0.30,57,1305633.600000,1364516.000000,-58882.39999999991
baseline,58,1014084.000000,705882.000000,308202.0
psi=0.05,58,1062675.600000,785293.800000,277381.80000000016
psi=0.10,58,1111267.200000,864705.600000,246561.6000000001
psi=0.20,58,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,58,1305633.600000,1182352.800000,123280.80000000028
baseline,59,1014084.000000,705882.000000,308202.0
psi=0.05,59,1062675.600000,785293.800000,277381.80000000016
psi=0.10,59,1111267.200000,864705.600000,246561.6000000001
psi=0.20,59,1208450.400000,1023529.200000,184921.19999999984
psi=0.30,59,1305633.600000,1182352.800000,123280.80000000028
baseline,60,1014084.000000,1033536.375000,-19452.375
psi=0.05,60,1062675.600000,1080182.737500,-17507.137499999953
psi=0.10,60,1111267.200000,1126829.100000,-15561.899999999907
psi=0.20,60,1208450.400000,1220121.825000,-11671.42500000028
psi=0.30,60,1305633.600000,1313414.550000,-7780.949999999953
baseline,61,1014084.000000,1014084.000000,0.0
